NACA 0004
   0.6530789     -0.1368232E-01
   0.6635215     -0.1336453E-01
   0.6739639     -0.1304140E-01
   0.6844064     -0.1271302E-01
   0.6948487     -0.1237946E-01
   0.7052910     -0.1204079E-01
   0.7157332     -0.1169708E-01
   0.7261753     -0.1134839E-01
   0.7366173     -0.1099475E-01
   0.7470592     -0.1063621E-01
   0.7575009     -0.1027280E-01
   0.7679425     -0.9904545E-02
   0.7783840     -0.9531454E-02
   0.7888252     -0.9153540E-02
   0.7992663     -0.8770803E-02
   0.8097072     -0.8383236E-02
   0.8201479     -0.7990828E-02
   0.8305884     -0.7593557E-02
   0.8410287     -0.7191395E-02
   0.8514687     -0.6784308E-02
   0.8619084     -0.6372255E-02
   0.8723479     -0.5955186E-02
   0.8827871     -0.5533047E-02
   0.8932260     -0.5105775E-02
   0.9036646     -0.4673301E-02
   0.9141028     -0.4235551E-02
   0.9245407     -0.3792440E-02
   0.9349783     -0.3343883E-02
   0.9454155     -0.2889778E-02
   0.9558522     -0.2430011E-02
   0.9662871     -0.1964625E-02
   0.9767089     -0.1494636E-02
   0.9869064     -0.1032372E-02
   0.9953365     -0.6578764E-03
    1.000000       0.000000    
