#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.87964  0.009776  0.005329  0.001221     1.834
   0.00715  0.99287  0.00052  0.89011  0.009087  0.005088  0.001373     1.786
   0.02086  0.97924  0.00196  0.90926  0.008025  0.004686  0.001654     1.713
   0.03644  0.96375  0.00370  0.92847  0.007155  0.004323  0.001936     1.655
   0.05250  0.94778  0.00539  0.94280  0.006609  0.004070  0.002134     1.624
   0.06875  0.93161  0.00702  0.95326  0.006258  0.003891  0.002264     1.608
   0.08511  0.91533  0.00863  0.96186  0.005994  0.003747  0.002359     1.600
   0.10149  0.89903  0.01027  0.96974  0.005766  0.003618  0.002441     1.594
   0.11784  0.88277  0.01194  0.97729  0.005559  0.003498  0.002517     1.589
   0.13419  0.86651  0.01365  0.98483  0.005361  0.003381  0.002593     1.586
   0.15054  0.85025  0.01540  0.99236  0.005171  0.003268  0.002669     1.582
   0.16691  0.83398  0.01718  0.99987  0.004990  0.003159  0.002744     1.579
   0.18328  0.81771  0.01900  1.00739  0.004815  0.003053  0.002819     1.577
   0.19966  0.80144  0.02086  1.01507  0.004644  0.002949  0.002898     1.575
   0.21605  0.78516  0.02273  1.02279  0.004478  0.002847  0.002977     1.573
   0.23244  0.76888  0.02464  1.03083  0.004312  0.002746  0.003063     1.570
   0.24885  0.75258  0.02657  1.03898  0.004150  0.002646  0.003151     1.568
   0.26527  0.73628  0.02851  1.04732  0.003990  0.002548  0.003243     1.566
   0.28171  0.71996  0.03047  1.05597  0.003831  0.002450  0.003343     1.564
   0.29815  0.70363  0.03243  1.06460  0.003678  0.002356  0.003443     1.561
   0.31459  0.68731  0.03438  1.07360  0.003525  0.002261  0.003552     1.559
   0.33102  0.67100  0.03634  1.08264  0.003378  0.002170  0.003663     1.557
   0.34744  0.65469  0.03827  1.09194  0.003232  0.002079  0.003782     1.554
   0.36384  0.63840  0.04019  1.10153  0.003087  0.001990  0.003910     1.551
   0.38023  0.62212  0.04209  1.11130  0.002946  0.001902  0.004046     1.549
   0.39660  0.60586  0.04396  1.12142  0.002805  0.001815  0.004195     1.545
   0.41295  0.58961  0.04578  1.13176  0.002667  0.001730  0.004354     1.541
   0.42928  0.57338  0.04756  1.14243  0.002529  0.001646  0.004530     1.537
   0.44557  0.55718  0.04928  1.15325  0.002396  0.001564  0.004717     1.532
   0.46183  0.54100  0.05092  1.16425  0.002265  0.001484  0.004922     1.526
   0.47805  0.52485  0.05248  1.17512  0.002139  0.001407  0.005135     1.520
   0.49424  0.50873  0.05394  1.18559  0.002021  0.001334  0.005352     1.515
   0.51040  0.49263  0.05529  1.19578  0.001907  0.001263  0.005576     1.510
   0.52654  0.47654  0.05653  1.20540  0.001801  0.001197  0.005801     1.505
   0.54265  0.46046  0.05763  1.21454  0.001701  0.001134  0.006030     1.500
   0.55876  0.44439  0.05860  1.22309  0.001605  0.001073  0.006260     1.496
   0.57485  0.42832  0.05944  1.23101  0.001515  0.001016  0.006491     1.492
   0.59093  0.41225  0.06013  1.23834  0.001429  0.000960  0.006723     1.488
   0.60700  0.39619  0.06068  1.24491  0.001348  0.000907  0.006950     1.485
   0.62306  0.38014  0.06107  1.25095  0.001270  0.000856  0.007174     1.483
   0.63911  0.36408  0.06132  1.25611  0.001197  0.000807  0.007372     1.483
   0.65517  0.34802  0.06141  1.26048  0.001130  0.000760  0.007523     1.487
   0.67125  0.33195  0.06135  1.26427  0.001070  0.000714  0.007591     1.499
   0.68733  0.31587  0.06115  1.26769  0.001020  0.000670  0.007494     1.523
   0.70342  0.29978  0.06081  1.27157  0.000986  0.000626  0.007111     1.574
   0.71951  0.28370  0.06032  1.27555  0.000980  0.000586  0.006342     1.672
   0.73559  0.26763  0.05969  1.28204  0.001014  0.000546  0.005454     1.856
   0.75166  0.25158  0.05892  1.29275  0.001101  0.000506  0.003947     2.174
   0.76770  0.23556  0.05799  1.30658  0.001203  0.000468  0.002475     2.569
   0.78372  0.21958  0.05691  1.31391  0.001232  0.000446  0.001929     2.760
   0.79971  0.20364  0.05565  1.31784  0.001204  0.000431  0.001898     2.792
   0.81567  0.18775  0.05421  1.32325  0.001162  0.000414  0.001937     2.807
   0.83159  0.17191  0.05258  1.32970  0.001112  0.000396  0.002020     2.812
   0.84747  0.15614  0.05074  1.33697  0.001058  0.000376  0.002131     2.813
   0.86328  0.14046  0.04868  1.34524  0.000998  0.000356  0.002298     2.805
   0.87902  0.12490  0.04638  1.35431  0.000934  0.000334  0.002505     2.795
   0.89463  0.10950  0.04380  1.36414  0.000869  0.000312  0.002740     2.787
   0.91010  0.09430  0.04093  1.37508  0.000802  0.000289  0.003028     2.779
   0.92544  0.07930  0.03770  1.38770  0.000725  0.000264  0.003492     2.753
   0.94052  0.06466  0.03408  1.40100  0.000652  0.000238  0.003986     2.741
   0.95495  0.05079  0.03010  1.41589  0.000581  0.000211  0.004464     2.751
   0.96876  0.03769  0.02570  1.43515  0.000491  0.000181  0.005658     2.706
   0.98151  0.02588  0.02091  1.45298  0.000396  0.000151  0.007914     2.616
   0.99097  0.01741  0.01671  1.46243  0.000345  0.000129  0.008541     2.674
   0.99801  0.01135  0.01312  1.48407  0.000302  0.000107  0.008213     2.820
   1.00382  0.00663  0.00973  1.51358  0.000204  0.000082  0.018311     2.493
   1.00809  0.00354  0.00678  1.49633  0.000172  0.000068  0.020381     2.542
   1.01107  0.00168  0.00446  1.49283  0.000138  0.000054  0.024271     2.581
   1.01328  0.00059  0.00254  1.47664  0.000099  0.000040  0.038288     2.457
   1.01507  0.00007  0.00082  1.37287  0.000073  0.000031  0.054631     2.336
   1.01672  0.00007 -0.00082  1.09578  0.000062  0.000028  0.059108     2.182
   1.01851  0.00059 -0.00254  0.71945  0.000072  0.000033  0.032232     2.213
   1.02071  0.00168 -0.00446  0.38829  0.000084  0.000038  0.015184     2.194
   1.02370  0.00354 -0.00678  0.10983  0.000119  0.000054  0.002941     2.230
   1.02797  0.00663 -0.00973 -0.14235  0.000119  0.000054  0.003812     2.230
   1.03378  0.01135 -0.01312 -0.34207  0.000177  0.000076  0.005670     2.322
   1.04082  0.01741 -0.01671 -0.48758  0.000200  0.000090  0.007820     2.225
   1.05027  0.02588 -0.02091 -0.61913  0.000249  0.000107  0.007219     2.332
   1.06302  0.03770 -0.02570 -0.72354  0.000299  0.000130  0.007204     2.307
   1.07684  0.05079 -0.03010 -0.79555  0.000360  0.000153  0.006285     2.357
   1.09127  0.06466 -0.03408 -0.84842  0.000405  0.000173  0.006016     2.345
   1.10635  0.07930 -0.03770 -0.88883  0.000457  0.000193  0.005450     2.370
   1.12169  0.09430 -0.04093 -0.91911  0.000506  0.000212  0.005035     2.382
   1.13716  0.10950 -0.04380 -0.94352  0.000550  0.000230  0.004727     2.387
   1.15277  0.12490 -0.04638 -0.96309  0.000595  0.000248  0.004411     2.398
   1.16851  0.14046 -0.04868 -0.97941  0.000637  0.000265  0.004164     2.405
   1.18432  0.15614 -0.05074 -0.99295  0.000679  0.000281  0.003928     2.413
   1.20020  0.17191 -0.05258 -1.00483  0.000717  0.000297  0.003753     2.416
   1.21612  0.18775 -0.05421 -1.01494  0.000755  0.000312  0.003572     2.423
   1.23208  0.20364 -0.05565 -1.02403  0.000791  0.000326  0.003434     2.426
   1.24807  0.21958 -0.05691 -1.03177  0.000828  0.000340  0.003280     2.433
   1.26409  0.23556 -0.05799 -1.03860  0.000864  0.000354  0.003149     2.438
   1.28013  0.25158 -0.05892 -1.04473  0.000898  0.000368  0.003035     2.442
   1.29620  0.26763 -0.05969 -1.05008  0.000932  0.000381  0.002919     2.448
   1.31228  0.28370 -0.06032 -1.05500  0.000965  0.000394  0.002826     2.451
   1.32837  0.29978 -0.06081 -1.05982  0.000994  0.000406  0.002761     2.449
   1.34446  0.31587 -0.06115 -1.06398  0.001025  0.000418  0.002674     2.454
   1.36054  0.33195 -0.06135 -1.06782  0.001056  0.000430  0.002598     2.457
   1.37661  0.34802 -0.06141 -1.07099  0.001089  0.000442  0.002506     2.464
   1.39268  0.36408 -0.06132 -1.07369  0.001123  0.000454  0.002416     2.472
   1.40873  0.38014 -0.06107 -1.07531  0.001164  0.000467  0.002291     2.490
   1.42479  0.39619 -0.06068 -1.07622  0.001207  0.000481  0.002167     2.509
   1.44086  0.41225 -0.06013 -1.07618  0.001256  0.000496  0.002025     2.535
   1.45694  0.42832 -0.05944 -1.07537  0.001309  0.000511  0.001882     2.563
   1.47303  0.44439 -0.05860 -1.07383  0.001367  0.000527  0.001738     2.594
   1.48913  0.46046 -0.05763 -1.07155  0.001431  0.000544  0.001588     2.631
   1.50525  0.47654 -0.05653 -1.06856  0.001502  0.000562  0.001433     2.674
   1.52139  0.49263 -0.05529 -1.06496  0.001580  0.000580  0.001278     2.723
   1.53755  0.50873 -0.05394 -1.06088  0.001665  0.000600  0.001127     2.777
   1.55374  0.52486 -0.05248 -1.05636  0.001759  0.000620  0.000978     2.839
   1.56996  0.54100 -0.05092 -1.05150  0.001864  0.000640  0.000831     2.910
   1.58622  0.55718 -0.04928 -1.04658  0.001971  0.000661  0.000702     2.982
   1.60251  0.57338 -0.04756 -1.04169  0.002081  0.000682  0.000590     3.053
   1.61884  0.58961 -0.04578 -1.03701  0.002186  0.000702  0.000502     3.115
   1.63519  0.60586 -0.04396 -1.03253  0.002286  0.000721  0.000431     3.170
   1.65156  0.62212 -0.04209 -1.02834  0.002373  0.000740  0.000384     3.208
   1.66795  0.63840 -0.04019 -1.02448  0.002443  0.000757  0.000358     3.226
   1.68435  0.65469 -0.03827 -1.02109  0.002482  0.000773  0.000363     3.209
   1.70077  0.67100 -0.03634 -1.01842  0.002477  0.000787  0.000409     3.148
   1.71720  0.68731 -0.03438 -1.01017  0.002363  0.000824  0.000668     2.868
   1.73364  0.70363 -0.03243 -0.99682  0.002159  0.000884  0.001205     2.441
   1.75008  0.71996 -0.03047 -0.98545  0.001958  0.000942  0.001831     2.079
   1.76652  0.73628 -0.02851 -0.97797  0.001817  0.000989  0.002545     1.837
   1.78294  0.75258 -0.02657 -0.97323  0.001743  0.001032  0.003171     1.688
   1.79935  0.76888 -0.02464 -0.96962  0.001721  0.001076  0.003592     1.600
   1.81574  0.78516 -0.02273 -0.96660  0.001731  0.001121  0.003854     1.545
   1.83213  0.80144 -0.02086 -0.96372  0.001763  0.001167  0.003998     1.511
   1.84851  0.81771 -0.01900 -0.96102  0.001808  0.001214  0.004069     1.489
   1.86488  0.83398 -0.01718 -0.95825  0.001864  0.001263  0.004086     1.475
   1.88125  0.85025 -0.01540 -0.95574  0.001923  0.001311  0.004078     1.466
   1.89760  0.86651 -0.01365 -0.95325  0.001986  0.001360  0.004048     1.460
   1.91394  0.88277 -0.01194 -0.95098  0.002050  0.001408  0.004011     1.457
   1.93030  0.89903 -0.01027 -0.94908  0.002113  0.001454  0.003973     1.454
   1.94668  0.91533 -0.00863 -0.94756  0.002174  0.001498  0.003938     1.452
   1.96304  0.93161 -0.00702 -0.94654  0.002231  0.001539  0.003910     1.449
   1.97929  0.94778 -0.00539 -0.94361  0.002310  0.001591  0.003833     1.451
   1.99535  0.96375 -0.00370 -0.93591  0.002446  0.001671  0.003649     1.463
   2.01093  0.97924 -0.00196 -0.91803  0.002723  0.001820  0.003251     1.496
   2.02464  0.99287 -0.00052 -0.89561  0.003107  0.002012  0.002787     1.544
   2.03179  1.00000  0.00000 -0.87964  0.003419  0.002157  0.002469     1.585
   2.03179  1.00010 -0.00000  0.87964  0.013195  0.007486  0.000000     1.763
   2.03894  1.00725  0.00001  0.89793  0.011502  0.006936  0.000000     1.658
   2.04758  1.01589  0.00006  0.90821  0.010649  0.006655  0.000000     1.600
   2.05801  1.02632  0.00014  0.91762  0.009935  0.006414  0.000000     1.549
   2.07062  1.03893  0.00027  0.92629  0.009319  0.006205  0.000000     1.502
   2.08586  1.05417  0.00046  0.93437  0.008776  0.006021  0.000000     1.458
   2.10427  1.07258  0.00072  0.94188  0.008289  0.005857  0.000000     1.415
   2.12652  1.09482  0.00109  0.94886  0.007849  0.005712  0.000000     1.374
   2.15340  1.12170  0.00160  0.95532  0.007450  0.005584  0.000000     1.334
   2.18588  1.15417  0.00228  0.96126  0.007086  0.005470  0.000000     1.295
   2.22513  1.19341  0.00321  0.96671  0.006756  0.005370  0.000000     1.258
   2.27254  1.24081  0.00445  0.97168  0.006457  0.005281  0.000000     1.223
   2.32984  1.29808  0.00609  0.97616  0.006189  0.005204  0.000000     1.189
   2.39907  1.36728  0.00826  0.98016  0.005953  0.005137  0.000000     1.159
   2.48272  1.45088  0.01112  0.98370  0.005747  0.005079  0.000000     1.132
   2.58379  1.55188  0.01485  0.98678  0.005571  0.005030  0.000000     1.108
   2.70592  1.67391  0.01970  0.98942  0.005425  0.004988  0.000000     1.088
   2.85348  1.82134  0.02596  0.99164  0.005305  0.004954  0.000000     1.071
   3.03178  1.99946  0.03401  0.99368  0.005206  0.004923  0.000000     1.058
