#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.90365  0.007528  0.004475  0.001748     1.682
   0.00506  0.99495  0.00032  0.91488  0.007022  0.004272  0.001932     1.644
   0.01378  0.98626  0.00108  0.92675  0.006551  0.004066  0.002119     1.611
   0.02382  0.97628  0.00209  0.94042  0.006064  0.003846  0.002341     1.577
   0.03471  0.96544  0.00318  0.95300  0.005662  0.003653  0.002546     1.550
   0.04609  0.95411  0.00426  0.96267  0.005378  0.003509  0.002699     1.533
   0.05775  0.94249  0.00529  0.96977  0.005181  0.003402  0.002805     1.523
   0.06963  0.93066  0.00629  0.97471  0.005047  0.003324  0.002870     1.518
   0.08165  0.91868  0.00729  0.97889  0.004937  0.003256  0.002920     1.516
   0.09375  0.90663  0.00830  0.98290  0.004833  0.003192  0.002967     1.514
   0.10586  0.89456  0.00933  0.98693  0.004731  0.003127  0.003015     1.513
   0.11795  0.88251  0.01036  0.99077  0.004635  0.003067  0.003059     1.511
   0.13003  0.87047  0.01142  0.99467  0.004539  0.003006  0.003105     1.510
   0.14211  0.85844  0.01249  0.99857  0.004445  0.002946  0.003151     1.509
   0.15420  0.84641  0.01358  1.00259  0.004350  0.002886  0.003200     1.508
   0.16629  0.83437  0.01469  1.00674  0.004254  0.002825  0.003253     1.506
   0.17838  0.82233  0.01582  1.01096  0.004158  0.002764  0.003307     1.504
   0.19048  0.81028  0.01697  1.01520  0.004064  0.002705  0.003362     1.503
   0.20259  0.79823  0.01813  1.01957  0.003969  0.002645  0.003421     1.501
   0.21471  0.78617  0.01931  1.02397  0.003875  0.002585  0.003480     1.499
   0.22683  0.77411  0.02051  1.02847  0.003781  0.002526  0.003543     1.497
   0.23895  0.76204  0.02171  1.03302  0.003688  0.002467  0.003608     1.495
   0.25108  0.74997  0.02293  1.03758  0.003596  0.002409  0.003674     1.493
   0.26322  0.73790  0.02416  1.04228  0.003504  0.002350  0.003745     1.491
   0.27536  0.72582  0.02540  1.04702  0.003413  0.002293  0.003817     1.489
   0.28750  0.71374  0.02665  1.05189  0.003321  0.002235  0.003893     1.486
   0.29966  0.70165  0.02790  1.05689  0.003229  0.002177  0.003974     1.483
   0.31182  0.68956  0.02917  1.06192  0.003139  0.002119  0.004058     1.481
   0.32399  0.67745  0.03043  1.06713  0.003047  0.002062  0.004147     1.478
   0.33617  0.66534  0.03170  1.07230  0.002958  0.002005  0.004237     1.475
   0.34835  0.65323  0.03297  1.07765  0.002869  0.001949  0.004334     1.472
   0.36053  0.64111  0.03425  1.08297  0.002781  0.001893  0.004432     1.469
   0.37270  0.62901  0.03551  1.08843  0.002693  0.001837  0.004536     1.466
   0.38487  0.61691  0.03678  1.09396  0.002607  0.001782  0.004644     1.463
   0.39702  0.60481  0.03804  1.09953  0.002522  0.001727  0.004756     1.460
   0.40918  0.59273  0.03929  1.10528  0.002436  0.001673  0.004875     1.456
   0.42132  0.58065  0.04053  1.11100  0.002353  0.001619  0.004995     1.453
   0.43345  0.56858  0.04176  1.11700  0.002268  0.001565  0.005126     1.450
   0.44557  0.55652  0.04298  1.12286  0.002187  0.001512  0.005255     1.447
   0.45769  0.54447  0.04419  1.12902  0.002105  0.001458  0.005394     1.444
   0.46978  0.53243  0.04538  1.13500  0.002027  0.001407  0.005528     1.441
   0.48187  0.52040  0.04655  1.14136  0.001948  0.001354  0.005673     1.439
   0.49394  0.50838  0.04770  1.14732  0.001875  0.001304  0.005803     1.438
   0.50601  0.49637  0.04882  1.15364  0.001801  0.001253  0.005936     1.438
   0.51806  0.48436  0.04992  1.15964  0.001733  0.001204  0.006048     1.440
   0.53010  0.47237  0.05099  1.16566  0.001669  0.001156  0.006136     1.444
   0.54214  0.46038  0.05203  1.17177  0.001610  0.001108  0.006192     1.453
   0.55415  0.44841  0.05304  1.17760  0.001559  0.001063  0.006180     1.468
   0.56616  0.43644  0.05402  1.18323  0.001520  0.001019  0.006068     1.492
   0.57815  0.42449  0.05496  1.18866  0.001499  0.000978  0.005798     1.533
   0.59012  0.41255  0.05585  1.19356  0.001507  0.000940  0.005272     1.603
   0.60207  0.40063  0.05671  1.19911  0.001561  0.000904  0.004401     1.726
   0.61401  0.38872  0.05751  1.20696  0.001695  0.000867  0.003095     1.955
   0.62593  0.37682  0.05827  1.22342  0.001941  0.000810  0.001722     2.396
   0.63783  0.36495  0.05897  1.25523  0.002287  0.000712  0.000484     3.210
