#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.90001  0.009880  0.005411  0.001283     1.826
   0.00634  0.99372  0.00214  0.90663  0.009454  0.005257  0.001373     1.798
   0.01739  0.98277  0.00365  0.91904  0.008729  0.004985  0.001548     1.751
   0.03029  0.96999  0.00539  0.93252  0.008043  0.004709  0.001738     1.708
   0.04475  0.95567  0.00731  0.94642  0.007423  0.004445  0.001935     1.670
   0.06028  0.94026  0.00934  0.95995  0.006889  0.004203  0.002125     1.639
   0.07646  0.92422  0.01142  0.97280  0.006433  0.003987  0.002305     1.614
   0.09297  0.90784  0.01350  0.98469  0.006049  0.003796  0.002470     1.594
   0.10966  0.89128  0.01556  0.99567  0.005721  0.003626  0.002622     1.578
   0.12644  0.87462  0.01759  1.00588  0.005437  0.003475  0.002762     1.565
   0.14325  0.85793  0.01959  1.01539  0.005187  0.003337  0.002892     1.554
   0.16009  0.84120  0.02155  1.02430  0.004964  0.003212  0.003013     1.546
   0.17694  0.82446  0.02348  1.03274  0.004762  0.003096  0.003127     1.538
   0.19380  0.80771  0.02537  1.04077  0.004578  0.002987  0.003235     1.533
   0.21066  0.79095  0.02723  1.04845  0.004408  0.002886  0.003338     1.528
   0.22752  0.77419  0.02905  1.05590  0.004249  0.002789  0.003438     1.523
   0.24438  0.75742  0.03083  1.06306  0.004100  0.002698  0.003533     1.520
   0.26124  0.74066  0.03257  1.07007  0.003959  0.002610  0.003627     1.517
   0.27810  0.72389  0.03428  1.07693  0.003824  0.002525  0.003720     1.514
   0.29495  0.70712  0.03594  1.08363  0.003696  0.002444  0.003810     1.512
   0.31179  0.69035  0.03757  1.09031  0.003572  0.002365  0.003901     1.511
   0.32863  0.67359  0.03916  1.09689  0.003452  0.002288  0.003992     1.509
   0.34546  0.65683  0.04071  1.10340  0.003337  0.002213  0.004081     1.508
   0.36228  0.64008  0.04221  1.10995  0.003224  0.002139  0.004174     1.507
   0.37909  0.62333  0.04367  1.11647  0.003114  0.002068  0.004267     1.506
   0.39589  0.60659  0.04509  1.12294  0.003007  0.001998  0.004360     1.505
   0.41267  0.58987  0.04646  1.12948  0.002902  0.001928  0.004456     1.505
   0.42944  0.57315  0.04778  1.13604  0.002799  0.001861  0.004554     1.504
   0.44619  0.55645  0.04905  1.14263  0.002698  0.001794  0.004655     1.504
   0.46292  0.53976  0.05026  1.14929  0.002598  0.001728  0.004760     1.504
   0.47963  0.52309  0.05143  1.15600  0.002500  0.001663  0.004867     1.503
   0.49632  0.50644  0.05253  1.16280  0.002404  0.001599  0.004979     1.503
   0.51299  0.48980  0.05357  1.16973  0.002308  0.001536  0.005098     1.503
   0.52963  0.47319  0.05455  1.17657  0.002215  0.001474  0.005216     1.503
   0.54624  0.45660  0.05546  1.18373  0.002121  0.001412  0.005347     1.503
   0.56282  0.44004  0.05630  1.19082  0.002030  0.001351  0.005480     1.503
