#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.92308  0.008064  0.004513  0.001511     1.787
   0.00485  0.99519  0.00065  0.93086  0.007672  0.004368  0.001631     1.756
   0.01437  0.98578  0.00203  0.94075  0.007235  0.004189  0.001768     1.727
   0.02618  0.97410  0.00386  0.95399  0.006704  0.003966  0.001959     1.690
   0.03938  0.96107  0.00597  0.96787  0.006209  0.003747  0.002161     1.657
   0.05312  0.94751  0.00818  0.98073  0.005801  0.003555  0.002345     1.632
   0.06700  0.93382  0.01042  0.99246  0.005462  0.003388  0.002510     1.612
   0.08091  0.92009  0.01265  1.00314  0.005178  0.003242  0.002657     1.597
   0.09484  0.90634  0.01488  1.01295  0.004935  0.003112  0.002789     1.586
   0.10879  0.89257  0.01711  1.02191  0.004726  0.002997  0.002906     1.577
   0.12275  0.87879  0.01934  1.03083  0.004527  0.002886  0.003024     1.569
   0.13671  0.86501  0.02158  1.03930  0.004348  0.002783  0.003135     1.562
   0.15067  0.85123  0.02382  1.04776  0.004177  0.002684  0.003247     1.556
   0.16463  0.83745  0.02606  1.05613  0.004014  0.002588  0.003358     1.551
   0.17858  0.82368  0.02830  1.06412  0.003865  0.002499  0.003463     1.547
   0.19253  0.80991  0.03053  1.07238  0.003717  0.002410  0.003576     1.542
   0.20648  0.79614  0.03276  1.08046  0.003577  0.002326  0.003686     1.538
   0.22041  0.78238  0.03498  1.08854  0.003443  0.002243  0.003798     1.535
   0.23435  0.76863  0.03719  1.09651  0.003314  0.002164  0.003908     1.532
   0.24827  0.75488  0.03939  1.10482  0.003186  0.002085  0.004028     1.528
   0.26218  0.74114  0.04158  1.11311  0.003061  0.002008  0.004150     1.525
   0.27608  0.72741  0.04375  1.12122  0.002944  0.001934  0.004268     1.523
   0.28997  0.71369  0.04591  1.12997  0.002823  0.001858  0.004405     1.519
   0.30384  0.69998  0.04805  1.13832  0.002710  0.001787  0.004533     1.517
   0.31771  0.68628  0.05017  1.14725  0.002595  0.001714  0.004679     1.514
   0.33156  0.67259  0.05226  1.15597  0.002486  0.001645  0.004820     1.511
   0.34539  0.65891  0.05433  1.16517  0.002376  0.001575  0.004977     1.509
   0.35921  0.64524  0.05637  1.17437  0.002270  0.001507  0.005137     1.506
   0.37301  0.63159  0.05837  1.18386  0.002165  0.001439  0.005306     1.504
   0.38678  0.61796  0.06034  1.19374  0.002060  0.001372  0.005488     1.501
   0.40054  0.60434  0.06226  1.20356  0.001960  0.001307  0.005669     1.500
   0.41425  0.59075  0.06414  1.21365  0.001862  0.001243  0.005857     1.498
   0.42793  0.57720  0.06595  1.22412  0.001766  0.001179  0.006053     1.498
   0.44156  0.56368  0.06770  1.23457  0.001675  0.001117  0.006240     1.499
   0.45514  0.55020  0.06938  1.24479  0.001590  0.001058  0.006401     1.503
   0.46868  0.53676  0.07098  1.25493  0.001512  0.001001  0.006526     1.511
   0.48218  0.52335  0.07249  1.26449  0.001445  0.000947  0.006571     1.526
   0.49564  0.50996  0.07390  1.27384  0.001389  0.000895  0.006507     1.551
   0.50908  0.49658  0.07522  1.28292  0.001349  0.000847  0.006269     1.593
   0.52249  0.48323  0.07643  1.29169  0.001334  0.000802  0.005761     1.663
   0.53588  0.46989  0.07754  1.30096  0.001354  0.000760  0.004901     1.780
   0.54924  0.45656  0.07854  1.31281  0.001415  0.000718  0.003705     1.972
   0.56258  0.44325  0.07942  1.32794  0.001523  0.000673  0.002704     2.264
   0.57591  0.42995  0.08018  1.34511  0.001640  0.000627  0.001773     2.614
   0.58920  0.41666  0.08082  1.35935  0.001712  0.000591  0.001196     2.895
   0.60248  0.40340  0.08134  1.36332  0.001696  0.000579  0.001152     2.929
   0.61573  0.39015  0.08173  1.36742  0.001648  0.000566  0.001223     2.910
   0.62896  0.37693  0.08198  1.37198  0.001588  0.000553  0.001341     2.874
   0.64215  0.36373  0.08210  1.37658  0.001527  0.000539  0.001478     2.834
   0.65533  0.35055  0.08207  1.38106  0.001468  0.000525  0.001626     2.795
   0.66850  0.33739  0.08190  1.38523  0.001413  0.000512  0.001769     2.762
   0.68166  0.32423  0.08159  1.38892  0.001367  0.000499  0.001891     2.738
   0.69483  0.31107  0.08113  1.39247  0.001321  0.000487  0.002022     2.714
