#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.89151  0.008724  0.005016  0.001498     1.739
   0.00506  0.99495  0.00032  0.89993  0.008258  0.004839  0.001626     1.707
   0.01378  0.98626  0.00108  0.91185  0.007672  0.004601  0.001805     1.667
   0.02382  0.97628  0.00209  0.92564  0.007070  0.004345  0.002017     1.627
   0.03471  0.96544  0.00318  0.93871  0.006566  0.004117  0.002219     1.595
   0.04609  0.95411  0.00426  0.94923  0.006201  0.003942  0.002376     1.573
   0.05775  0.94249  0.00529  0.95732  0.005943  0.003809  0.002490     1.560
   0.06963  0.93066  0.00629  0.96329  0.005763  0.003710  0.002565     1.554
   0.08165  0.91868  0.00729  0.96837  0.005616  0.003624  0.002623     1.550
   0.09375  0.90663  0.00830  0.97312  0.005484  0.003545  0.002675     1.547
   0.10586  0.89456  0.00933  0.97778  0.005357  0.003468  0.002726     1.545
   0.11795  0.88251  0.01036  0.98215  0.005241  0.003397  0.002771     1.543
   0.13003  0.87047  0.01142  0.98651  0.005128  0.003327  0.002816     1.542
   0.14211  0.85844  0.01249  0.99082  0.005020  0.003258  0.002860     1.541
   0.15420  0.84641  0.01358  0.99519  0.004912  0.003191  0.002905     1.539
   0.16629  0.83437  0.01469  0.99964  0.004804  0.003123  0.002952     1.538
   0.17838  0.82233  0.01582  1.00413  0.004698  0.003056  0.002999     1.537
   0.19048  0.81028  0.01697  1.00862  0.004594  0.002990  0.003047     1.536
   0.20259  0.79823  0.01813  1.01322  0.004490  0.002924  0.003096     1.535
   0.21471  0.78617  0.01931  1.01782  0.004388  0.002860  0.003146     1.534
   0.22683  0.77411  0.02051  1.02251  0.004286  0.002795  0.003198     1.533
   0.23895  0.76204  0.02171  1.02724  0.004187  0.002732  0.003251     1.533
   0.25108  0.74997  0.02293  1.03198  0.004089  0.002669  0.003304     1.532
   0.26322  0.73790  0.02416  1.03683  0.003991  0.002606  0.003359     1.531
   0.27536  0.72582  0.02540  1.04173  0.003894  0.002545  0.003416     1.530
   0.28750  0.71374  0.02665  1.04675  0.003797  0.002483  0.003475     1.529
   0.29966  0.70165  0.02790  1.05188  0.003700  0.002421  0.003537     1.528
   0.31182  0.68956  0.02917  1.05708  0.003605  0.002360  0.003601     1.527
   0.32399  0.67745  0.03043  1.06240  0.003509  0.002299  0.003668     1.526
   0.33617  0.66534  0.03170  1.06774  0.003416  0.002239  0.003735     1.525
   0.34835  0.65323  0.03297  1.07321  0.003322  0.002179  0.003806     1.524
   0.36053  0.64111  0.03425  1.07870  0.003230  0.002120  0.003878     1.523
   0.37270  0.62901  0.03551  1.08430  0.003139  0.002062  0.003954     1.522
   0.38487  0.61691  0.03678  1.09001  0.003048  0.002004  0.004033     1.521
   0.39702  0.60481  0.03804  1.09574  0.002959  0.001947  0.004113     1.520
   0.40918  0.59273  0.03929  1.10169  0.002870  0.001889  0.004199     1.519
   0.42132  0.58065  0.04053  1.10765  0.002782  0.001833  0.004287     1.518
   0.43345  0.56858  0.04176  1.11384  0.002693  0.001776  0.004382     1.516
   0.44557  0.55652  0.04298  1.11997  0.002607  0.001721  0.004477     1.515
   0.45769  0.54447  0.04419  1.12639  0.002520  0.001665  0.004582     1.513
   0.46978  0.53243  0.04538  1.13276  0.002435  0.001611  0.004687     1.512
   0.48187  0.52040  0.04655  1.13943  0.002349  0.001556  0.004803     1.510
   0.49394  0.50838  0.04770  1.14590  0.002267  0.001503  0.004916     1.508
   0.50601  0.49637  0.04882  1.15270  0.002183  0.001449  0.005042     1.506
