#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00084  0.94792  0.007323  0.004493  0.002070     1.630
   0.00451  0.99551  0.00126  0.95177  0.007170  0.004422  0.002126     1.621
   0.01290  0.98716  0.00203  0.95967  0.006865  0.004282  0.002244     1.603
   0.02296  0.97713  0.00295  0.96789  0.006570  0.004140  0.002365     1.587
   0.03399  0.96615  0.00394  0.97630  0.006286  0.004000  0.002490     1.571
   0.04541  0.95478  0.00496  0.98393  0.006042  0.003876  0.002601     1.559
   0.05697  0.94326  0.00597  0.99087  0.005831  0.003765  0.002701     1.549
   0.06858  0.93170  0.00697  0.99752  0.005637  0.003661  0.002797     1.540
   0.08020  0.92011  0.00796  1.00349  0.005469  0.003568  0.002881     1.533
   0.09183  0.90853  0.00894  1.00904  0.005317  0.003482  0.002959     1.527
   0.10346  0.89694  0.00991  1.01441  0.005175  0.003401  0.003035     1.522
   0.11510  0.88534  0.01086  1.01943  0.005044  0.003325  0.003105     1.517
   0.12673  0.87375  0.01180  1.02416  0.004924  0.003254  0.003170     1.513
   0.13836  0.86215  0.01273  1.02855  0.004815  0.003188  0.003229     1.510
   0.15000  0.85055  0.01364  1.03306  0.004705  0.003122  0.003292     1.507
   0.16164  0.83895  0.01454  1.03711  0.004607  0.003062  0.003346     1.505
   0.17327  0.82735  0.01543  1.04125  0.004509  0.003001  0.003402     1.502
   0.18491  0.81574  0.01631  1.04511  0.004418  0.002944  0.003454     1.501
   0.19655  0.80414  0.01718  1.04901  0.004328  0.002888  0.003507     1.499
   0.20818  0.79253  0.01804  1.05275  0.004243  0.002833  0.003557     1.497
   0.21982  0.78092  0.01888  1.05626  0.004163  0.002782  0.003603     1.496
   0.23146  0.76932  0.01971  1.06003  0.004079  0.002729  0.003655     1.495
   0.24310  0.75771  0.02053  1.06341  0.004004  0.002680  0.003699     1.494
   0.25473  0.74610  0.02134  1.06699  0.003927  0.002630  0.003748     1.493
   0.26637  0.73449  0.02213  1.07038  0.003854  0.002581  0.003793     1.493
   0.27801  0.72288  0.02292  1.07384  0.003780  0.002533  0.003840     1.492
   0.28964  0.71127  0.02369  1.07720  0.003709  0.002487  0.003885     1.492
   0.30128  0.69966  0.02445  1.08056  0.003639  0.002440  0.003930     1.491
   0.31291  0.68805  0.02519  1.08388  0.003571  0.002395  0.003975     1.491
   0.32454  0.67644  0.02593  1.08727  0.003502  0.002349  0.004022     1.491
   0.33617  0.66483  0.02665  1.09060  0.003435  0.002304  0.004068     1.491
   0.34781  0.65322  0.02736  1.09393  0.003369  0.002260  0.004114     1.491
   0.35943  0.64161  0.02805  1.09728  0.003303  0.002216  0.004161     1.491
   0.37106  0.63001  0.02873  1.10058  0.003239  0.002173  0.004207     1.491
   0.38269  0.61840  0.02940  1.10401  0.003174  0.002129  0.004256     1.491
   0.39431  0.60679  0.03005  1.10733  0.003111  0.002087  0.004303     1.491
   0.40593  0.59519  0.03068  1.11075  0.003048  0.002044  0.004353     1.491
   0.41755  0.58359  0.03131  1.11418  0.002985  0.002002  0.004403     1.491
   0.42917  0.57198  0.03191  1.11751  0.002925  0.001961  0.004451     1.492
   0.44079  0.56038  0.03250  1.12103  0.002862  0.001919  0.004504     1.492
   0.45240  0.54879  0.03308  1.12456  0.002800  0.001877  0.004558     1.492
   0.46401  0.53719  0.03363  1.12801  0.002740  0.001836  0.004609     1.492
   0.47562  0.52560  0.03417  1.13158  0.002680  0.001795  0.004665     1.493
   0.48722  0.51400  0.03469  1.13522  0.002619  0.001754  0.004722     1.493
   0.49882  0.50241  0.03519  1.13887  0.002559  0.001713  0.004781     1.493
   0.51042  0.49083  0.03567  1.14251  0.002499  0.001673  0.004839     1.494
   0.52201  0.47924  0.03613  1.14623  0.002440  0.001633  0.004901     1.494
   0.53360  0.46766  0.03658  1.15003  0.002380  0.001592  0.004964     1.495
   0.54518  0.45608  0.03699  1.15380  0.002321  0.001552  0.005028     1.495
   0.55676  0.44451  0.03739  1.15775  0.002262  0.001512  0.005098     1.496
   0.56834  0.43294  0.03776  1.16170  0.002203  0.001472  0.005168     1.496
   0.57991  0.42137  0.03811  1.16567  0.002144  0.001433  0.005240     1.497
   0.59148  0.40981  0.03843  1.16970  0.002086  0.001393  0.005315     1.497
   0.60304  0.39826  0.03873  1.17391  0.002027  0.001354  0.005396     1.497
   0.61459  0.38671  0.03900  1.17805  0.001969  0.001314  0.005476     1.498
   0.62614  0.37516  0.03924  1.18237  0.001910  0.001275  0.005564     1.498
   0.63768  0.36362  0.03945  1.18677  0.001851  0.001236  0.005656     1.498
   0.64922  0.35209  0.03963  1.19113  0.001793  0.001197  0.005748     1.499
   0.66074  0.34056  0.03978  1.19565  0.001735  0.001158  0.005848     1.499
   0.67226  0.32904  0.03989  1.20042  0.001675  0.001118  0.005959     1.498
   0.68377  0.31753  0.03997  1.20514  0.001617  0.001079  0.006071     1.498
   0.69528  0.30603  0.04001  1.20990  0.001559  0.001040  0.006189     1.498
   0.70677  0.29454  0.04001  1.21488  0.001500  0.001001  0.006317     1.498
   0.71825  0.28305  0.03997  1.21994  0.001441  0.000962  0.006452     1.498
   0.72972  0.27158  0.03989  1.22520  0.001382  0.000923  0.006599     1.497
   0.74118  0.26013  0.03976  1.23052  0.001323  0.000884  0.006752     1.497
   0.75263  0.24868  0.03959  1.23599  0.001264  0.000845  0.006914     1.496
   0.76406  0.23725  0.03936  1.24159  0.001206  0.000806  0.007082     1.496
   0.77547  0.22584  0.03909  1.24742  0.001147  0.000766  0.007258     1.497
   0.78687  0.21445  0.03876  1.25335  0.001090  0.000727  0.007427     1.499
   0.79825  0.20308  0.03837  1.25952  0.001035  0.000688  0.007582     1.504
   0.80960  0.19173  0.03791  1.26585  0.000982  0.000649  0.007694     1.513
   0.82094  0.18041  0.03740  1.27230  0.000932  0.000611  0.007755     1.527
   0.83224  0.16912  0.03681  1.27896  0.000889  0.000573  0.007693     1.552
   0.84351  0.15787  0.03615  1.28588  0.000857  0.000536  0.007637     1.598
   0.85475  0.14665  0.03540  1.29297  0.000841  0.000500  0.007437     1.682
   0.86594  0.13549  0.03457  1.30124  0.000859  0.000465  0.006574     1.847
   0.87708  0.12439  0.03365  1.31520  0.000940  0.000428  0.004615     2.195
   0.88816  0.11336  0.03262  1.34214  0.001091  0.000381  0.001934     2.864
   0.89916  0.10242  0.03149  1.36584  0.001204  0.000345  0.000483     3.492
