#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.91886  0.007137  0.004329  0.001923     1.649
   0.00485  0.99519  0.00065  0.92771  0.006775  0.004175  0.002064     1.623
   0.01437  0.98578  0.00203  0.93859  0.006377  0.003991  0.002228     1.598
   0.02618  0.97410  0.00386  0.95304  0.005895  0.003764  0.002454     1.566
   0.03938  0.96107  0.00597  0.96782  0.005455  0.003546  0.002688     1.538
   0.05312  0.94751  0.00818  0.98114  0.005095  0.003359  0.002901     1.517
   0.06700  0.93382  0.01042  0.99308  0.004798  0.003199  0.003092     1.500
   0.08091  0.92009  0.01265  1.00379  0.004548  0.003059  0.003264     1.487
   0.09484  0.90634  0.01488  1.01352  0.004333  0.002936  0.003420     1.476
   0.10879  0.89257  0.01711  1.02229  0.004148  0.002826  0.003561     1.468
   0.12275  0.87879  0.01934  1.03107  0.003970  0.002720  0.003705     1.460
   0.13671  0.86501  0.02158  1.03934  0.003809  0.002621  0.003841     1.453
   0.15067  0.85123  0.02382  1.04761  0.003654  0.002526  0.003980     1.446
   0.16463  0.83745  0.02606  1.05579  0.003506  0.002434  0.004120     1.440
   0.17858  0.82368  0.02830  1.06352  0.003371  0.002348  0.004253     1.436
   0.19253  0.80991  0.03053  1.07155  0.003236  0.002262  0.004394     1.431
   0.20648  0.79614  0.03276  1.07934  0.003109  0.002180  0.004531     1.426
   0.22041  0.78238  0.03498  1.08711  0.002988  0.002100  0.004668     1.423
   0.23435  0.76863  0.03719  1.09470  0.002873  0.002023  0.004799     1.420
   0.24827  0.75488  0.03939  1.10263  0.002759  0.001946  0.004938     1.418
   0.26218  0.74114  0.04158  1.11047  0.002651  0.001872  0.005070     1.416
   0.27608  0.72741  0.04375  1.11799  0.002551  0.001801  0.005187     1.417
   0.28997  0.71369  0.04591  1.12614  0.002450  0.001728  0.005310     1.418
   0.30384  0.69998  0.04805  1.13368  0.002361  0.001660  0.005399     1.422
   0.31771  0.68628  0.05017  1.14168  0.002275  0.001592  0.005474     1.429
   0.33156  0.67259  0.05226  1.14920  0.002202  0.001528  0.005496     1.441
   0.34539  0.65891  0.05433  1.15691  0.002138  0.001465  0.005463     1.460
   0.35921  0.64524  0.05637  1.16420  0.002094  0.001406  0.005325     1.489
   0.37301  0.63159  0.05837  1.17125  0.002075  0.001350  0.005038     1.537
   0.38678  0.61796  0.06034  1.17819  0.002097  0.001298  0.004528     1.615
   0.40054  0.60434  0.06226  1.18525  0.002190  0.001250  0.003688     1.752
   0.41425  0.59075  0.06414  1.19565  0.002399  0.001194  0.002476     2.009
   0.42793  0.57720  0.06595  1.21782  0.002773  0.001096  0.001086     2.530
   0.44156  0.56368  0.06770  1.26293  0.003286  0.000910  0.000100     3.613
   0.45514  0.55020  0.06938  1.30580  0.003693  0.000738 -0.000242     5.004
   0.46868  0.53676  0.07098  1.30894  0.003800  0.000726 -0.000251     5.230
   0.48218  0.52335  0.07249  1.31189  0.003756  0.000716 -0.000256     5.248
   0.49564  0.50996  0.07390  1.31483  0.003619  0.000705 -0.000259     5.131
   0.50908  0.49658  0.07522  1.31793  0.003426  0.000695 -0.000257     4.932
   0.52249  0.48323  0.07643  1.32132  0.003206  0.000684 -0.000244     4.689
   0.53588  0.46989  0.07754  1.32509  0.002974  0.000672 -0.000211     4.427
   0.54924  0.45656  0.07854  1.32929  0.002738  0.000659 -0.000143     4.153
   0.56258  0.44325  0.07942  1.33392  0.002515  0.000646 -0.000035     3.893
   0.57591  0.42995  0.08018  1.33914  0.002309  0.000631  0.000117     3.657
   0.58920  0.41666  0.08082  1.34497  0.002125  0.000616  0.000307     3.452
   0.60248  0.40340  0.08134  1.35129  0.001965  0.000599  0.000522     3.281
   0.61573  0.39015  0.08173  1.35781  0.001828  0.000582  0.000747     3.142
   0.62896  0.37693  0.08198  1.36432  0.001711  0.000565  0.000977     3.029
   0.64215  0.36373  0.08210  1.37053  0.001612  0.000548  0.001197     2.940
   0.65533  0.35055  0.08207  1.37634  0.001528  0.000533  0.001406     2.869
   0.66850  0.33739  0.08190  1.38158  0.001457  0.000518  0.001596     2.815
   0.68166  0.32423  0.08159  1.38616  0.001399  0.000504  0.001754     2.777
   0.69483  0.31107  0.08113  1.39040  0.001345  0.000490  0.001910     2.743
   0.70800  0.29791  0.08053  1.39396  0.001302  0.000478  0.002026     2.725
   0.72118  0.28476  0.07978  1.39725  0.001262  0.000466  0.002133     2.710
   0.73436  0.27160  0.07888  1.40031  0.001225  0.000453  0.002227     2.701
   0.74755  0.25846  0.07785  1.40330  0.001189  0.000441  0.002320     2.694
   0.76073  0.24533  0.07667  1.40611  0.001156  0.000429  0.002397     2.692
   0.77390  0.23222  0.07536  1.40909  0.001121  0.000417  0.002487     2.689
   0.78706  0.21915  0.07390  1.41220  0.001086  0.000404  0.002587     2.684
   0.80018  0.20612  0.07229  1.41527  0.001051  0.000392  0.002679     2.684
   0.81327  0.19315  0.07053  1.41871  0.001013  0.000378  0.002807     2.678
   0.82632  0.18024  0.06862  1.42201  0.000978  0.000365  0.002915     2.678
   0.83932  0.16741  0.06655  1.42572  0.000939  0.000351  0.003065     2.672
   0.85226  0.15466  0.06432  1.42949  0.000899  0.000337  0.003221     2.669
   0.86513  0.14202  0.06191  1.43353  0.000858  0.000322  0.003415     2.662
   0.87791  0.12951  0.05932  1.43767  0.000815  0.000307  0.003636     2.655
   0.89058  0.11715  0.05654  1.44179  0.000773  0.000292  0.003869     2.650
   0.90309  0.10499  0.05356  1.44618  0.000728  0.000276  0.004165     2.641
   0.91545  0.09304  0.05038  1.45042  0.000684  0.000259  0.004468     2.637
   0.92768  0.08131  0.04697  1.45511  0.000635  0.000242  0.004896     2.624
   0.93968  0.06987  0.04332  1.45940  0.000587  0.000224  0.005356     2.617
   0.95121  0.05900  0.03950  1.46377  0.000535  0.000206  0.006028     2.597
   0.96210  0.04885  0.03554  1.46679  0.000484  0.000188  0.006860     2.575
   0.97262  0.03921  0.03135  1.46754  0.000436  0.000170  0.007687     2.567
