#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00084  0.94135  0.008102  0.004912  0.001928     1.649
   0.00451  0.99551  0.00126  0.94538  0.007920  0.004831  0.001986     1.639
   0.01290  0.98716  0.00203  0.95341  0.007573  0.004676  0.002104     1.620
   0.02296  0.97713  0.00295  0.96184  0.007234  0.004518  0.002226     1.601
   0.03399  0.96615  0.00394  0.97048  0.006909  0.004362  0.002352     1.584
   0.04541  0.95478  0.00496  0.97836  0.006630  0.004223  0.002465     1.570
   0.05697  0.94326  0.00597  0.98555  0.006390  0.004099  0.002567     1.559
   0.06858  0.93170  0.00697  0.99240  0.006171  0.003984  0.002664     1.549
   0.08020  0.92011  0.00796  0.99858  0.005981  0.003882  0.002750     1.541
   0.09183  0.90853  0.00894  1.00433  0.005810  0.003788  0.002830     1.534
   0.10346  0.89694  0.00991  1.00987  0.005651  0.003699  0.002907     1.528
   0.11510  0.88534  0.01086  1.01505  0.005506  0.003616  0.002978     1.523
   0.12673  0.87375  0.01180  1.01992  0.005373  0.003539  0.003044     1.518
   0.13836  0.86215  0.01273  1.02444  0.005252  0.003467  0.003104     1.515
   0.15000  0.85055  0.01364  1.02907  0.005131  0.003396  0.003167     1.511
   0.16164  0.83895  0.01454  1.03323  0.005024  0.003331  0.003221     1.509
   0.17327  0.82735  0.01543  1.03747  0.004917  0.003266  0.003278     1.506
   0.18491  0.81574  0.01631  1.04142  0.004819  0.003205  0.003330     1.504
   0.19655  0.80414  0.01718  1.04541  0.004721  0.003144  0.003383     1.502
   0.20818  0.79253  0.01804  1.04922  0.004629  0.003086  0.003433     1.500
   0.21982  0.78092  0.01888  1.05281  0.004543  0.003032  0.003478     1.499
   0.23146  0.76932  0.01971  1.05664  0.004454  0.002975  0.003530     1.497
   0.24310  0.75771  0.02053  1.06008  0.004373  0.002923  0.003573     1.496
   0.25473  0.74610  0.02134  1.06372  0.004290  0.002870  0.003621     1.495
   0.26637  0.73449  0.02213  1.06716  0.004212  0.002819  0.003666     1.494
   0.27801  0.72288  0.02292  1.07067  0.004134  0.002768  0.003712     1.493
   0.28964  0.71127  0.02369  1.07408  0.004059  0.002719  0.003756     1.493
   0.30128  0.69966  0.02445  1.07747  0.003984  0.002670  0.003800     1.492
   0.31291  0.68805  0.02519  1.08083  0.003912  0.002623  0.003844     1.492
   0.32454  0.67644  0.02593  1.08425  0.003839  0.002575  0.003890     1.491
   0.33617  0.66483  0.02665  1.08762  0.003769  0.002528  0.003934     1.491
   0.34781  0.65322  0.02736  1.09098  0.003699  0.002481  0.003979     1.491
   0.35943  0.64161  0.02805  1.09436  0.003630  0.002435  0.004024     1.491
   0.37106  0.63001  0.02873  1.09769  0.003563  0.002390  0.004068     1.490
   0.38269  0.61840  0.02940  1.10114  0.003494  0.002345  0.004115     1.490
   0.39431  0.60679  0.03005  1.10449  0.003428  0.002300  0.004160     1.490
   0.40593  0.59519  0.03068  1.10791  0.003362  0.002256  0.004207     1.490
   0.41755  0.58359  0.03131  1.11136  0.003296  0.002212  0.004255     1.490
   0.42917  0.57198  0.03191  1.11472  0.003232  0.002168  0.004301     1.491
   0.44079  0.56038  0.03250  1.11825  0.003167  0.002125  0.004351     1.491
   0.45240  0.54879  0.03308  1.12180  0.003103  0.002081  0.004402     1.491
   0.46401  0.53719  0.03363  1.12526  0.003040  0.002039  0.004450     1.491
   0.47562  0.52560  0.03417  1.12885  0.002977  0.001996  0.004502     1.492
   0.48722  0.51400  0.03469  1.13249  0.002913  0.001953  0.004556     1.492
   0.49882  0.50241  0.03519  1.13615  0.002851  0.001910  0.004610     1.492
   0.51042  0.49083  0.03567  1.13981  0.002789  0.001869  0.004664     1.493
   0.52201  0.47924  0.03613  1.14353  0.002727  0.001827  0.004720     1.493
   0.53360  0.46766  0.03658  1.14734  0.002665  0.001785  0.004779     1.493
   0.54518  0.45608  0.03699  1.15112  0.002604  0.001743  0.004837     1.494
   0.55676  0.44451  0.03739  1.15509  0.002542  0.001701  0.004900     1.494
   0.56834  0.43294  0.03776  1.15903  0.002482  0.001660  0.004962     1.495
   0.57991  0.42137  0.03811  1.16300  0.002421  0.001619  0.005026     1.496
   0.59148  0.40981  0.03843  1.16706  0.002361  0.001578  0.005092     1.496
   0.60304  0.39826  0.03873  1.17127  0.002300  0.001537  0.005163     1.497
   0.61459  0.38671  0.03900  1.17544  0.002240  0.001496  0.005232     1.497
   0.62614  0.37516  0.03924  1.17976  0.002180  0.001455  0.005307     1.498
   0.63768  0.36362  0.03945  1.18417  0.002120  0.001414  0.005384     1.499
   0.64922  0.35209  0.03963  1.18856  0.002061  0.001374  0.005461     1.500
   0.66074  0.34056  0.03978  1.19310  0.002001  0.001334  0.005543     1.500
   0.67226  0.32904  0.03989  1.19790  0.001940  0.001293  0.005633     1.501
   0.68377  0.31753  0.03997  1.20267  0.001881  0.001252  0.005722     1.502
   0.69528  0.30603  0.04001  1.20748  0.001822  0.001212  0.005813     1.503
   0.70677  0.29454  0.04001  1.21252  0.001762  0.001172  0.005912     1.504
   0.71825  0.28305  0.03997  1.21767  0.001703  0.001132  0.006014     1.505
   0.72972  0.27158  0.03989  1.22304  0.001643  0.001091  0.006124     1.506
   0.74118  0.26013  0.03976  1.22848  0.001583  0.001051  0.006237     1.507
   0.75263  0.24868  0.03959  1.23412  0.001524  0.001011  0.006356     1.508
   0.76406  0.23725  0.03936  1.23993  0.001465  0.000970  0.006480     1.510
   0.77547  0.22584  0.03909  1.24605  0.001405  0.000930  0.006614     1.511
   0.78687  0.21445  0.03876  1.25230  0.001346  0.000889  0.006750     1.513
   0.79825  0.20308  0.03837  1.25893  0.001286  0.000849  0.006895     1.515
   0.80960  0.19173  0.03791  1.26575  0.001227  0.000808  0.007042     1.519
   0.82094  0.18041  0.03740  1.27299  0.001168  0.000767  0.007192     1.523
   0.83224  0.16912  0.03681  1.28066  0.001110  0.000726  0.007342     1.528
   0.84351  0.15787  0.03615  1.28877  0.001052  0.000685  0.007478     1.536
   0.85475  0.14665  0.03540  1.29758  0.000996  0.000644  0.007596     1.547
   0.86594  0.13549  0.03457  1.30716  0.000941  0.000602  0.007692     1.562
   0.87708  0.12439  0.03365  1.31734  0.000886  0.000561  0.007772     1.580
   0.88816  0.11336  0.03262  1.32874  0.000833  0.000519  0.008094     1.604
   0.89916  0.10242  0.03149  1.34104  0.000778  0.000477  0.008609     1.630
   0.91007  0.09159  0.03023  1.35422  0.000721  0.000434  0.009212     1.661
   0.92084  0.08091  0.02884  1.36862  0.000663  0.000390  0.009880     1.699
   0.93143  0.07043  0.02731  1.38426  0.000612  0.000347  0.010362     1.767
   0.94175  0.06024  0.02563  1.40343  0.000585  0.000303  0.009797     1.932
   0.95166  0.05050  0.02380  1.43372  0.000609  0.000258  0.006627     2.365
   0.96093  0.04144  0.02185  1.48182  0.000670  0.000212  0.002137     3.164
   0.96927  0.03334  0.01985  1.51165  0.000627  0.000187  0.001564     3.347
   0.97644  0.02645  0.01788  1.54295  0.000552  0.000165  0.001870     3.335
   0.98238  0.02081  0.01602  1.57645  0.000473  0.000145  0.002635     3.262
   0.98722  0.01629  0.01430  1.61098  0.000399  0.000127  0.004022     3.148
   0.99117  0.01267  0.01271  1.64527  0.000335  0.000110  0.005923     3.038
   0.99444  0.00975  0.01122  1.67887  0.000280  0.000096  0.008616     2.927
   0.99720  0.00738  0.00982  1.71056  0.000233  0.000083  0.012349     2.816
   0.99957  0.00543  0.00847  1.73813  0.000192  0.000071  0.017456     2.710
   1.00165  0.00383  0.00715  1.75755  0.000158  0.000060  0.024065     2.613
   1.00349  0.00253  0.00584  1.76255  0.000129  0.000051  0.032878     2.517
   1.00515  0.00151  0.00453  1.74104  0.000106  0.000044  0.043298     2.430
   1.00666  0.00075  0.00322  1.67871  0.000089  0.000038  0.053532     2.360
   1.00806  0.00026  0.00191  1.56156  0.000076  0.000033  0.061640     2.293
   1.00937  0.00003  0.00062  1.38714  0.000070  0.000031  0.061887     2.257
   1.01062  0.00003 -0.00062  1.17394  0.000067  0.000030  0.056247     2.227
   1.01193  0.00026 -0.00191  0.92659  0.000068  0.000030  0.044097     2.223
   1.01333  0.00075 -0.00322  0.66551  0.000071  0.000032  0.030991     2.195
   1.01484  0.00151 -0.00453  0.42178  0.000079  0.000036  0.017049     2.226
   1.01650  0.00253 -0.00584  0.20780  0.000085  0.000038  0.007907     2.217
   1.01834  0.00383 -0.00715  0.02729  0.000108  0.000048  0.000808     2.230
   1.02042  0.00543 -0.00847 -0.12230  0.000108  0.000048  0.003619     2.230
   1.02279  0.00738 -0.00982 -0.25080  0.000132  0.000058  0.005791     2.281
   1.02555  0.00975 -0.01122 -0.35810  0.000147  0.000066  0.007672     2.243
   1.02882  0.01267 -0.01271 -0.45208  0.000171  0.000075  0.007935     2.297
   1.03277  0.01629 -0.01430 -0.53326  0.000194  0.000085  0.008361     2.286
   1.03761  0.02081 -0.01602 -0.60547  0.000223  0.000096  0.008002     2.316
   1.04355  0.02645 -0.01788 -0.66855  0.000255  0.000110  0.007688     2.323
   1.05072  0.03334 -0.01985 -0.72320  0.000292  0.000125  0.007135     2.341
   1.05906  0.04144 -0.02185 -0.76894  0.000332  0.000141  0.006609     2.353
   1.06833  0.05050 -0.02380 -0.80606  0.000373  0.000158  0.006070     2.368
   1.07824  0.06024 -0.02563 -0.83613  0.000414  0.000174  0.005631     2.377
   1.08856  0.07043 -0.02731 -0.86052  0.000454  0.000190  0.005235     2.386
   1.09915  0.08091 -0.02884 -0.88025  0.000493  0.000206  0.004877     2.397
   1.10992  0.09159 -0.03023 -0.89652  0.000531  0.000221  0.004577     2.404
   1.12083  0.10242 -0.03149 -0.91047  0.000566  0.000235  0.004342     2.408
   1.13183  0.11336 -0.03262 -0.92192  0.000603  0.000249  0.004083     2.419
   1.14291  0.12439 -0.03365 -0.93202  0.000636  0.000263  0.003900     2.422
   1.15405  0.13549 -0.03457 -0.94052  0.000671  0.000276  0.003702     2.430
   1.16524  0.14665 -0.03540 -0.94801  0.000703  0.000289  0.003542     2.435
   1.17648  0.15787 -0.03615 -0.95449  0.000736  0.000301  0.003388     2.441
   1.18775  0.16912 -0.03681 -0.96025  0.000767  0.000314  0.003255     2.445
   1.19905  0.18041 -0.03740 -0.96531  0.000798  0.000326  0.003128     2.450
   1.21039  0.19173 -0.03791 -0.96983  0.000828  0.000337  0.003015     2.455
   1.22174  0.20308 -0.03837 -0.97365  0.000859  0.000349  0.002894     2.462
   1.23312  0.21445 -0.03876 -0.97724  0.000888  0.000360  0.002804     2.465
   1.24452  0.22584 -0.03909 -0.98038  0.000917  0.000371  0.002709     2.470
   1.25593  0.23725 -0.03936 -0.98316  0.000946  0.000382  0.002620     2.474
   1.26736  0.24868 -0.03959 -0.98559  0.000975  0.000393  0.002534     2.480
   1.27881  0.26013 -0.03976 -0.98786  0.001003  0.000404  0.002462     2.483
   1.29027  0.27158 -0.03989 -0.98985  0.001031  0.000414  0.002390     2.487
   1.30174  0.28305 -0.03997 -0.99152  0.001059  0.000425  0.002314     2.493
   1.31322  0.29454 -0.04001 -0.99307  0.001087  0.000435  0.002250     2.497
   1.32471  0.30603 -0.04001 -0.99444  0.001114  0.000445  0.002189     2.501
   1.33622  0.31753 -0.03997 -0.99556  0.001142  0.000456  0.002124     2.507
   1.34773  0.32904 -0.03989 -0.99671  0.001167  0.000465  0.002076     2.508
   1.35925  0.34056 -0.03978 -0.99760  0.001195  0.000475  0.002020     2.513
   1.37077  0.35209 -0.03963 -0.99845  0.001221  0.000485  0.001972     2.517
   1.38231  0.36362 -0.03945 -0.99905  0.001249  0.000495  0.001916     2.523
   1.39385  0.37516 -0.03924 -0.99964  0.001275  0.000505  0.001871     2.526
   1.40540  0.38670 -0.03900 -1.00015  0.001301  0.000514  0.001828     2.530
   1.41695  0.39826 -0.03873 -1.00051  0.001327  0.000524  0.001782     2.534
